Alloprevotella,bacteria
Klebsiella_pneumoniae,bacteria
Paracoccus,bacteria
Streptococcus,bacteria
Brussowvirus,virus
Haemophilus,bacteria
Klebsiella_quasipneumoniae,bacteria
Prevotella_corporis,bacteria
Donellivirus,virus
Fletchervirus,virus
Gochnauervirinae,virus
Pecentumvirus,virus
Spizizenvirus,virus
Spounavirinae,virus
Wbetavirus,virus
Salasmaviridae,virus
Eowynvirus,virus
Camtrevirus,virus
MMP25,genes
TMED2,genes
HCK,genes
TLR8,genes
RIPK2,genes
PIK3CG,genes
LIPA,genes
VNN1,genes
IL18RAP,genes
ADGRE5,genes
THEMIS2,genes
PLAA,genes
AKT1,genes
GBP5,genes
LY96,genes
HK1,genes
PTX3,genes
HMGB2,genes
NFKBID,genes
RELA,genes
CSF1R,genes
PRKD1,genes
SEMA4A,genes
PJA2,genes
TRIM31,genes
